Id,Label,Interval
0,Fullmetal Alchemist Brotherhood,9.18
1,Shingeki no Kyojin The Final Season,9.15
2,Shingeki no Kyojin Season 3 Part 2,9.11
3,Steins Gate,9.11
4,Gintama,9.1
5,Hunter x Hunter 2011,9.09
6,Ginga Eiyuu Densetsu,9.07
7,Gintama,9.07
8,Gintama Enchousen,9.04
9,3-gatsu no Lion 2nd Season,9.0
10,Koe no Katachi,8.99
11,Gintama,8.98
12,Clannad After Story,8.96
13,Gintama,8.96
14,Gintama Movie 2 Kanketsu-hen - Yorozuya yo Eien Nare,8.95
15,Kimi no Na wa,8.95
16,Owarimonogatari 2nd Season,8.93
17,Code Geass Hangyaku no Lelouch R2,8.91
18,Gintama Shirogane no Tamashii-hen - Kouhan-sen,8.86
19,Haikyuu Karasuno Koukou vs Shiratorizawa Gakuen Koukou,8.86
20,Mob Psycho 100 II,8.84
21,Gintama The Final,8.81
22,Kizumonogatari III Reiketsu-hen,8.82
23,Sen to Chihiro no Kamikakushi,8.82
24,Gintama Shirogane no Tamashii-hen,8.81
25,Cowboy Bebop,8.78
26,Fate stay night Movie Heavens Feel - III Spring Song,8.78
27,Monogatari Series Second Season,8.78
28,Shouwa Genroku Rakugo Shinjuu Sukeroku Futatabi-hen,8.78
29,Monster,8.77
30,Mushishi Zoku Shou 2nd Season,8.76
31,Hajime no Ippo,8.75
32,Made in Abyss,8.74
33,Haikyuu Second Season,8.72
34,Kaguya-sama wa Kokurasetai Tensai-tachi no Renai Zunousen,8.72
35,Made in Abyss Movie 3 Fukaki Tamashii no Reimei,8.73
36,Rurouni Kenshin Meiji Kenkaku Romantan - Tsuioku-hen,8.73
37,Shigatsu wa Kimi no Uso,8.73
38,Kimetsu no Yaiba Movie Mugen Ressha-hen,8.72
39,Mushishi Zoku Shou,8.72
40,Code Geass Hangyaku no Lelouch,8.71
41,Mononoke Hime,8.71
42,Vinland Saga,8.71
43,Great Teacher Onizuka,8.7
44,Mushishi,8.69
45,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.68
46,Natsume Yuujinchou Shi,8.67
47,Ashita no Joe 2,8.66
48,Hajime no Ippo New Challenger,8.67
49,Howl no Ugoku Shiro,8.67
50,Tengen Toppa Gurren Lagann,8.66
